Proveedor,Nombre del curso (MAYUSC),Nombre del curso (MINUSC),Descripción del curso,Número de horas de la formación,Tipo de certificado,Temática,Grupo,Sector de oportunidad ocupacional,Palabras Clave,Nombre del curso
SENA,MARKETING DIGITAL,Marketing digital,"En la actualidad un gran número de organizaciones están orientadas al marketing digital basando sus negocios en las demandas reales del mercado y por ello fijan su atención al enorme atractivo que un espacio virtual provoca en el público objetivo, desarrollando habilidades para la optimización de herramientas como medio de comunicación para llegar a sus clientes en entornos digitales, las tecnologías de la información y la comunicación dan lugar al denominando marketing digital, siendo internet y las redes sociales la herramienta más efectiva para conectar clientes, permitiendo segmentarlos, focalizarlos y comercializarles productos o servicios.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Industria (manufacturas), Servicios financieros, Logística y Transporte","MERCADEO, PUBLICIDAD WEB, CREACIÓN DE CONTENIDO","MARKETING DIGITAL MERCADEO, PUBLICIDAD WEB, CREACIÓN CONTENIDO"
SENA,MENTALIDAD EMPRESARIAL E IDEAS DE NEGOCIO,Mentalidad empresarial e ideas de negocio,"Desarrollar temas relacionados con los valores, la ética y la creación de estrategias propias del pensamiento empresarial, para fomentar la cultura del emprendimiento entre los ciudadanos productivos con altas metas en la formación de emprendedores, facilitadores y empresarios. ",48.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","EMPRENDIMIENTO, NEGOCIOS, MERCADO","MENTALIDAD EMPRESARIAL E IDEAS NEGOCIO EMPRENDIMIENTO, NEGOCIOS, MERCADO"
SENA,MENTALIDAD DE LÍDER (LIDERAZGO),Mentalidad de líder (Liderazgo),"Este programa, se creó para brindar a los diferentes sectores productivos de la economía colombiana, la posibilidad de incorporar personal con altas calidades laborales y profesionales que contribuyan al desarrollo económico, social y tecnológico de su entorno y del país. Los principales temas a tratar son: Definiciones y cualidades de liderazgo, Liderazgo como visión y misión de vida, Un líder en proceso, Ante los resultados",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","EMPRENDIMIENTO, NEGOCIOS, MERCADO","MENTALIDAD LÍDER (LIDERAZGO) EMPRENDIMIENTO, NEGOCIOS, MERCADO"
SENA,MERCADEO Y VENTAS	,Mercadeo y ventas,"Es el proceso de influir en la transaccion de intercambio voluntario que se llevan a cabo entreproductor y consumidor dicho proceso incluye la comunicacion y requiere de un mecanismo o sistemas para realizar el intercambio d el los productos del mercadeo por algo de valor. Es importante estudiar variables sociales y economico que condicionan el proyecto aunque parezcan ajenas a este y recopilar informacion y analisis de antecedentes que permitan la conveniencia o no de ofrecer un bien o servicio para sastifacer una necesidad. en el casco urbano y su area de influencia del municipio no exister las minimas condiciones para adquirir conocimiento tecnico en las condiciones labores. (40) Horas 
",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Industria (manufacturas), Turismo, hoteles y gastronomía.","MARKETING DIGITAL, MERCADEO, B2B, PUBLICIDAD","MERCADEO VENTAS MARKETING DIGITAL, MERCADEO, B2B, PUBLICIDAD"
SENA,OFIMÁTICA Y MANEJO DEL INTERNET,Ofimática básica,"El campo laboral exige cada día más personas competitivas y con conocimientos en el área de informática para la ejecución de muchos procesos que anteriormente se llevaban de manera manual o mecánica. No podemos ser ajenos al auge que tiene la tecnología en nuestras vidas, donde nos facilita muchas de nuestras tareas, permitiéndonos desde elaborar cartas, almacenar información, reproducir música, videos, entre otros hasta comunicarnos con nuestros seres queridos en cualquier lugar del mundo. El curso permitirá el aprendizaje de conceptos y herramientas fundamentales de los programas de Microsoft Word, Excel e internet., de forma teórico práctico de tal manera que el aprendiz va aplicando y practicando los conocimientos adquiridos durante el proceso de formación, permitiendole desarrollar las habilidades básicas para operar los programas para un mejor desempeño en el ambito laboral, cadémico, y social.",50.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HERRAMIENTAS OFIMÁTICAS, ADMINISTRACIÓN, SECRETARIA, ASISTENTES","OFIMÁTICA BÁSICA HERRAMIENTAS OFIMÁTICAS, ADMINISTRACIÓN, SECRETARIA, ASISTENTES"
SENA,,Operación segura de montacargas,"Es un programa que se creó para brindar a los operarios de maquina montacargas la posibilidad de mejorar sus competencias de desempeño en la operación de cargue, descargue y transporte de cargas en el desarrollo en los diferentes sectores productivos.                                                                                                                                                                                               Las maquinas montacargas contribuyen a para mejorar la productividad y disminuir costos. Es así que los trabajadores en la operación con el montacargas debe permanecer en continua formación para mejorar su desempeño; para lo cual demandan programas específicos, como es el conocimiento en la operación del montacargas que capacita en la correcta conducción de la máquina de forma eficiente, segura y de acuerdo a los manuales de operación y normativa en seguridad",40.0,Certificado de aprobación,Fórmate,Otros,Logística y Transporte,,
SENA,,Oportunidades de negocio,"La cultura organizacional tiene en la comunicación uno de los recursos más importantes para brindar conocimiento y generar el adecuado manejo de los elementos que componen una unidad de negocio, ofreciendo una serie de principios donde se generan modelos de acción, los cuales dan sentido a la realidad laboral donde se planea y se diseña, con la finalidad de desarrollar acciones comunicativas, ejecutivas y exitosas de alta competitividad en cuanto a productos y servicios que brinda una organización.                                                                                                                                                                                             Es necesario estar alerta a las exigencias y expectativas del mercado, para ello es de vital importancia asegurar el éxito de las empresas y hacer uso de técnicas y herramientas que permitan, entre otros aspectos, generar ideas de productos y servicios que adentren a las oportunidades del mercado. ",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Industria (manufacturas)","EMPRENDIMIENTO, NEGOCIOS, MERCADO","OPORTUNIDADES NEGOCIO EMPRENDIMIENTO, NEGOCIOS, MERCADO"
SENA,OPORTUNIDADES DE NEGOCIO,Oportunidades de negocio,"a cultura organizacional tiene en la comunicación uno de los recursos más importantes para brindar conocimiento y generar el adecuado manejo de los elementos que componen una unidad de negocio, ofreciendo una serie de principios donde se generan modelos de acción, los cuales dan sentido a la realidad laboral donde se planea y se diseña, con la finalidad de desarrollar acciones comunicativas, ejecutivas y exitosas de alta competitividad en cuanto a productos y servicios que brinda una organización. Es necesario estar alerta a las exigencias y expectativas del mercado, para ello es de vital importancia asegurar el éxito de las empresas y hacer uso de técnicas y herramientas que permitan, entre otros aspectos, generar ideas de productos y servicios que adentren a las oportunidades del mercado. El SENA ofrece este programa con todos los elementos de formación profesional, social, tecnológico y cultural, aportando, como elementos diferenciadores de valor agregado, metodologías de aprendizaje innovadoras, acceso a tecnologías de última generación y una estructuración sobre métodos más que contenidos, lo que potencia la formación de un ciudadano librepensador, con capacidad crítica, solidaria y emprendedora, factores que lo acreditan y lo hacen pertinente y coherente con su misión, innovando permanentemente de acuerdo con las tendencias y cambios tecnológicos y las necesidades del sector empresarial y de los trabajadores, impactando positivamente la productividad, la competitividad, la equidad y el desarrollo del país.                     ",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","EMPRENDIMIENTO, NEGOCIOS, MERCADO","OPORTUNIDADES NEGOCIO EMPRENDIMIENTO, NEGOCIOS, MERCADO"
SENA,ORGANIZACIÓN DE ARCHIVOS DE GESTIÓN,Organización de archivos administrativos," El programa esta orientado a suplir las necesidades del Sector Productivo en relación con la capacitación y actualización de los trabajadores propendiendo por la competitividad
organizacional. Recibir los documentos de acuerdo con las normas vigentes. Despachar los documentos producidos, teniendo en cuenta la legislación y las normas vigentes. Archivar documentos de acuerdo con las normas externas e internas y  proveer información de acuerdo con la legislación y políticas de la organización. ",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Salud, Servicios financieros, Turismo, hoteles y gastronomía, Logística y Transporte.","GESTIÓN DOCUMENTAL, ARCHIVISTA, BIBLIOTECOLOGÍA","ORGANIZACIÓN ARCHIVOS ADMINISTRATIVOS GESTIÓN DOCUMENTAL, ARCHIVISTA, BIBLIOTECOLOGÍA"
SENA,,Organización de eventos,"Brindar al personal relacionado con los sectores de los servicios y de atención a usuarios, la posibilidad de adquirir y actualizar conocimientos básicos en el tema Estrategias Aplicadas a la Organización de Eventos; buscando profundizar los conocimientos relacionados con la calidad en la prestación del servicio de las reuniones o de los eventos. Es por tanto, que la industria de los eventos, requiere de personal cualificado y calificado capaz de responder integralmente a la demanda del sector.",40.0,Certificado de aprobación,Fórmate,Otros,Turismo hoteles y gastronomía,"MESEROS, BAR","ORGANIZACIÓN EVENTOS MESEROS, BAR"
SENA,,Orientación financiera al consumidor,"Busca que las personas de los diferentes sectores económicos se apropien y empoderen, realizando de manera oportuna y eficaz el asesoramiento del cliente, que ha ido evolucionado al ritmo de las transformaciones que el mercado y las condiciones del sector le han impuesto, de tal forma que los resultados  de aprendizaje que se imparten correspondan a los requerimientos  del sector y tambien a las  exigencias que las entidades finacieras solicitan ",40.0,Certificado de aprobación,Fórmate,Otros,Servicios financieros,"ANÁLISIS FINANCIERO, CUENTAS PERSONALES.","ORIENTACIÓN FINANCIERA AL CONSUMIDOR ANÁLISIS FINANCIERO, CUENTAS PERSONALES."
SENA,"PALETERO, SEÑALIZADO DE VÍAS EN OBRAS CIVILES","Paletero, señalizador de vías en obras civiles","Este curso capacita las personas para trabajar en la señalización vial, las personas son requeridos para la regulación del tránsito en calles, carreteras y ciclorrutas de Colombia, con el propósito de generar un ambiente ágil, seguro y eficiente para los usuarios, en su movilización. Proyectos civiles, ambientales, de publicidad exterior, consultoría e Interventoría. Asì como apoyar en la regulación del tránsito vehicular y peatonal en los puntos asignados.",60.0,Certificado de aprobación,Fórmate,Otros,Construcción,"BOAL, CONSTRUCCIÓN","PALETERO, SEÑALIZADOR VÍAS OBRAS CIVILES BOAL, CONSTRUCCIÓN"
SENA,,Patronaje asistido por computador,"Los adelantos tecnològicos se estàn dando en el mundo cada vez con mas frecuencia, haciendo necesario que la industria de la confección en general y en nuestro caso la colombiana, se vea en la tarea de mejorar su sistema de producción. Es así como el diseño asistido por computador se ha convertido en herramienta importante para mejorar la calidad del producto en el àrea de patronaje y aumentar la productividad,requiriendo personas competentes en el manejo de programas especializados.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI, Industria (manufacturas).","TEXTIL, COSEDOR, FILETEADORA","PATRONAJE ASISTIDO POR COMPUTADOR TEXTIL, COSEDOR, FILETEADORA"
SENA,PLAN DE MARKETING,Plan de marketing,"Los profundos cambios que afectan el comercio actualmente, la globalización de la economía, la concepción y adopción de nuevos paradigmas ha hecho necesaria la búsqueda de nuevos modelos de gestión empresarial los cuales buscan mejorar tanto la productividad como la competitividad en la función de satisfacción de las necesidades y expectativas de los mercados atendidos él logro de una mayor participación en los mercados depende de la calidad y de la productividad. Diseñar, producir, distribuir y respaldar los bienes y servicios que satisfagan a los clientes tanto en los mercados internos como internacionales con los menores costos posibles se constituyen en un elemento central por alcanzar la necesaria competitividad de nuestras organizaciones, aquellas unidades empresariales que no logran oportunamente los niveles de calidad y eficiencia corren peligro de desaparecer.
La falta de competencia interna de la producción y mercadeo de bienes y servicios ha conducido a restarle importancia la satisfacción del cliente; en consecuencia, existen organizaciones tanto manufactureras como de servicios que no investigan a sus clientes y por lo tanto no conocen sus necesidades y expectativas, lo cual conduce a la elaboración de estrategias erradas. Por ende se hace necesario elaborar un plan de marketing, se enmarca dentro de una nueva concepción gerencial donde la premisa fundamentalmente es la de comprender el cambiante entorno externo y por ende el cliente con el fin de adaptar la organización a esos nuevos retos y poder emprender exitosas decisiones.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Turismo, hoteles y gastronomía","MERCADEO, PUBLICIDAD WEB, CREACIÓN DE CONTENIDO","PLAN MARKETING MERCADEO, PUBLICIDAD WEB, CREACIÓN CONTENIDO"
SENA ,,Plan de marketing y ventas ,"Los mercados futuros se basan en el desarrollo tecnológico del mundo de las ventas como eje dinamizador de los diferentes sectores de la economía en el mundo globalizado. Su desarrollo se basa en capital humano fortalecido, en el desarrollo de las competencias y conocimientos necesarios para proponer estrategias asociadas a los cambios y avances de la amplia gama de productos ofrecidos en los diferentes formatos comerciales centradas en la necesidad de los clientes.
El desarrollo tecnológico y de las comunicaciones ha encontrado diversas formas para generar ese valor agregado y poner los productos y servicios al alcance de los clientes en el menor tiempo posible, a los menores costos y en las condiciones exigidas por los clientes ya sea a través de la fuerza de venta propia, fuerza de ventas externas, plataforma de tele ventas, marketing directo, internet, distribuidores mayoristas, minoristas. Cada uno de estos canales como una herramienta que puede ser usada para maximizar los resultados y la rentabilidad de la empresa.
Los aprendices participaran activamente en la solución de problemas reales del sector productivo para diseñar los planes de mercado para sus unidades productivas.
Adicionalmente, no existe alguna diferencia entre Marketing y mercadeo; el marketing supone una estrategia para motorizar las ventas; y dicho proceso se encarga de hacer que se venda exitosamente un determinado rubro, o bien hacerse de un contrato. Los dos conceptos son parte de un todo, y, por tanto, no existen por separado; donde el éxito depende proporcionalmente de la unión perfecta de la aplicación de estos dos conceptos.",40.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Turismo, hoteles y gastronomía","MERCADEO, PUBLICIDAD WEB, CREACIÓN DE CONTENIDO","PLAN MARKETING VENTAS MERCADEO, PUBLICIDAD WEB, CREACIÓN CONTENIDO"
SENA,,Planificación de proyectos utilizando la herramienta -microsoft project en el entorno laboral,"El Curso  se creó para brindar, a los empresarios del sector productivo personal con capacidades necesarias para manejo de herramientas de gestión, que soporten la toma de decisiones de forma rápida y eficaz, beneficiando el direccionamiento estratégico de la empresa.
El sena en su quehacer diario contribuye al crecimiento del país capacitando sus empleados con visión de talla mundial, permitiendo la globalización del conocimiento en nuestro país.",40.0,Certificado de aprobación,Fórmate Digital,TI,"BPOs, Industria (manufacturas), Hidrocarburos y energía - renovables, Logística y Transporte. ","PROYECTOS, GESTIÓN, ASISTENCIA GERENCIAL","PLANIFICACIÓN PROYECTOS UTILIZANDO HERRAMIENTA -MICROSOFT PROJECT ENTORNO LABORAL PROYECTOS, GESTIÓN, ASISTENCIA GERENCIAL"
SENA,PRIMEROS AUXILIOS CON ÉNFASIS EN PRIMERA INFANCIA,Primeros auxilios con énfasis en la primera infancia,"La mayoría de las veces por no utilizar los elementos de protección personal y en otros casos por no prever las condiciones inseguras de los trabajos relacionados con la atención de eventos de Emergencias y Desastres, los empleados de éstas Instituciones, generalmente por desconocimiento, arriesgan su estado de salud a tal punto que el atender un evento les genera secuelas en su salud y a veces su capacidad de respuesta no es la mejor.
Esta premisa es de especial interés para el Servicio Nacional de Aprendizaje SENA y por tanto se formula la siguiente pregunta, Se cuenta con elementos, equipos y materiales para la prestación de primeros auxilios de acuerdo con la población priorizada de acuerdo con los riesgos potenciales de las comunidades a las cuales pertenecen, como es el caso de la primea infancia, atendiendo a esto, ha formulado dentro del portafolio de cursos complementarios ajustados a las exigencias de la población, la capacitación en Primeros Auxilios con Énfasis en Promoción y Prevención a la primera infancia , y como parte del compromiso y competitividad institucional.",40.0,Certificado de aprobación,Fórmate,Otros,Salud,"SALUD, PREVENCIÓN, ","PRIMEROS AUXILIOS CON ÉNFASIS PRIMERA INFANCIA SALUD, PREVENCIÓN, "
SENA,,Procesamiento de información estadística,"En los procesos empresariales modernos la información juega un papel fundamental, que impacta fuertemente en las relaciones de los departamentos y las personas que allí laboran. En términos generales la información es un sistema de control, tiene estructura de carácter interno y puede ser clasificada según sus características.
Se requiere que el recurso humano desarrolle actividades, destrezas y conocimientos, que permitan recolectar, tabular, graficar y analizar información, para comprender fácilmente las posibles aplicaciones y proyecciones.",60.0,Certificado de aprobación,Fórmate Digital,TI,"Software y TI, BPOs, Servicios financieros.","ANÁLISIS DE DATOS, ECONOMÍA, MANEJO DE LA INFORMACIÓN","PROCESAMIENTO INFORMACIÓN ESTADÍSTICA ANÁLISIS DATOS, ECONOMÍA, MANEJO INFORMACIÓN"
SENA,,Producción de imágenes digitales,"La producción de imágenes digitales consiste en manipular esas imágenes, borrando, modificando o agregando muchos elementos para crear una composición armónica y estética, esto se logra por medio de programas básicos (software), que permiten modificar dichas características. La suite Adobe nos brinda algunos programas que facilitan la tarea, ellos son Adobe Photoshop® y Adobe Illustrator®. 
 El curso se creó para brindar al sector productivo de Diseño, animación digital y Publicidad, la posibilidad de incorporar personal con altas calidades laborales y profesionales que contribuyan al desarrollo económico, social y tecnológico de su entorno y del país, así mismo ofrecer a los aprendices formación en las tecnologías CLIENTES Y TIC.",40.0,Certificado de aprobación,Fórmate Digital,TI,"Industrias creativas y comunicación gráfica, Software y TI","DISEÑO GRÁFICO, CREACIÓN DE CONTENIDO, AUDIOVISUAL","PRODUCCIÓN IMÁGENES DIGITALES DISEÑO GRÁFICO, CREACIÓN CONTENIDO, AUDIOVISUAL"
SENA,PROPONER ALTERNATIVAS DE SOLUCIÓN DE CONFLICTOS Y LIDERAZGO,Proponer alternativas de solución de conflictos y liderazgo,"El desarrollo de las organizaciones tiene una inusitada y relevante la relación de las personas, y por esta razón se diseña esta acción de formación complementaria, para la organización; teniendo en cuenta los requerimientos del sector productivo, quien contribuye al desarrollo social, económico y tecnológico del país.
El SENA en pro de mejorar el clima organizacional brindar a las organizaciones publicas y privadas las herramientas necesarias para propiciar un ambiente laboral saludable.",40.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","PROPONER ALTERNATIVAS SOLUCIÓN CONFLICTOS LIDERAZGO HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,REALIZACIÓN DE PROYECTOS AUDIOVISUALES.,Realización de proyectos audiovisuales.,"La evolución de la educación propone mejorar el aprendizaje fomentando el uso de los medios como audio, video, animación, imagen, gráficos en el ambiente de aprendizaje; es necesario incorporarlos en el proceso formativo como un recurso que permita dar un valor agregado a la  formación; la educación no puede permanecer inmóvil, los instructores deben comprender que en su naturaleza dinámica, deben tomar un rol principal en la adecuación y adaptabilidad de dichas tecnologías en los procesos de formación. El programa, tiene como propósito brindar las herramientas necesarias a los instructores que deseen implementar al proceso formativo los videos como estrategia de aprendizaje, teniendo en cuenta que:
- Los videos permiten organizar, integrar y estructurarconocimientos teniendo en cuenta la intención comunicativa.
- Es una estrategia didáctica que apoya la formación acorde con las preferencias de los aprendices para acceder a nuevos conocimientos.
- Los aprendices hoy en día utilizan internet y redes sociales como fuente de información y aprendizaje.
- El uso del video en situaciones de aprendizaje se ha convertido en una herramienta atractiva y motivadora en los entornos de formación.
- La oferta de dispositivos tecnológicos inalámbricos livianos, pequeños, económicos, facilitan y posibilitan la creación y producción de video.
Al finalizar el curso, los participantes adquirirán las herramientas necesarias para elaborar proyectos audiovisuales como apoyo a la formación, para hacer un excelente uso de las nuevas tecnologías de la información y la comunicación al servicio de la educación y la formación integral. De tal modo el SENA se compromete con el desarrollo del país y genera transformación tanto local como mundial.",40.0,Certificado de aprobación,Fórmate Digital,TI,Industrias creativas y comunicación gráfica,"DISEÑO GRÁFICO, CREACIÓN DE CONTENIDO, AUDIOVISUAL","REALIZACIÓN PROYECTOS AUDIOVISUALES. DISEÑO GRÁFICO, CREACIÓN CONTENIDO, AUDIOVISUAL"
SENA,,Recibo y despacho de objetos  ,"El programa de formación complementaria ha sido diseñado para brindarle al aprendiz los elementos de juicio necesarios que le permitan aplicar conceptos de principios y conocimientos en los procesos de recibo y despacho de objetos, con el fin de ofrecerle al sector productivo mano de obra calificada para atender las necesidades del sector empresarial.
",40.0,Certificado de aprobación,Fórmate,Otros,"Industria (manufacturas), Logística y Transporte","LOGÍSTICA, TRANSPORTE","RECIBO DESPACHO OBJETOS  LOGÍSTICA, TRANSPORTE"
SENA,REDACCIÓN Y ORTOGRAFÍA,Redacción y ortografía,"La lectura y escritura como parte de las competencias básicas, permiten integrar y relacionar los aprendizajes con distintos tipos de contenidos, utilizarlos de manera efectiva y aplicarlos en diferentes situaciones, a partir de actividades que estimulen el interés y el hábito de lectura.                           Se hace necesario entender la lengua y escribir documentos apropiados al contexto, como habilidades para comprender, expresar e interpretar pensamientos, sentimientos y hechos de forma oral y escrita en diferentes escenarios y contextos, dentro de una formación profesional integral.
Se ha encontrado una alta demanda de formación en aspectos relacionados con el adecuado uso del lenguaje, el uso de reglas ortográficas, que permita mejorar la construcción de mensajes asertivos en las relaciones interpersonales y empresariales.",40.0,Certificado de aprobación,Fórmate,Otros,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","REDACCIÓN DE DOCUMENTOS, GESTIÓN DOCUMENTAL, SECRETARIA","REDACCIÓN ORTOGRAFÍA REDACCIÓN DOCUMENTOS, GESTIÓN DOCUMENTAL, SECRETARIA"
SENA,RE ENTRENAMIENTO NIVEL AVANZADO TRABAJO SEGURO EN ALTURAS,Reentrenamiento nivel avanzado trabajo seguro en alturas,"El trabajo en alturas es una actividad de alto riesgo y conforme a las estadísticas nacionales,representa la primera causa de accidentalidad y muerte en el trabajo por lo que se requiere de la planeación, organización, ejecución, control y evaluación de actividades para su
intervención.
El Ministerio de la Protección Social expidió el Reglamento Técnico para el Trabajo Seguro en Alturas, el cual es de estricto cumplimiento para empleadores, empresas, contratistas, subcontratistas y trabajadores del país.
El programa de trabajo en alturas, capacitando al sector eléctrico, electrónico, telecomunicaciones y refrigeración, este programa está dirigido a los trabajadores que realizan labores operativas, de mantenimiento y donde la altura de su trabajo supera los 1.5 m, realizan labores operativas en
alturas, de alto riesgo que impliquen transito vertical y horizontal, trabaja en plataformas de acceso a los sitios de alturas y/o protegidas por barandas, bajo los parámetros del reglamento técnico para trabajo en alturas, dirigido a garantizar la seguridad de los trabajadores y es de estricto cumplimiento para empleadores, contratistas y sub contratistas del sector",8.0,Certificado de aprobación,Fórmate,Otros,"Construcción, Logística y Transporte","ALTURAS, POSTES, ÁRBOL, RESCATE, INSTALACIÓN","REENTRENAMIENTO NIVEL AVANZADO  ALTURAS ALTURAS, POSTES, ÁRBOL, RESCATE, INSTALACIÓN"
SENA,,Resolución  de conflictos,"La comunidad desarrollada, esta unida al concepto de educacion con calidad, entendida como un proceso formativo en el aprender a ser, aprender a conocer, aprender a hacer, pero sobretodo en el aprender a convivir; por esta razon es necesario despertar dentro de nuestra comunidad la importancia por la mediacion, dialogo, respeto, el trabajo en equipo; pues se hace indispensable crear dia a dia una convivencia sana.",20.0,Certificado de aprobación,Fórmate,Habilidades blandas,"Industrias creativas y comunicación gráfica, Software y TI, BPOs, Salud, Industria (manufacturas), Servicios financieros, Construcción, Turismo hoteles y gastronomía, Hidrocarburos y energía - renovables, Logística y Transporte
","HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO DE PERSONAL, ASERTIVIDA, BAJO PRESIÓN","RESOLUCIÓN CONFLICTOS HABILIDADES BLANDAS, LIDERAZGO, GERENCIA, MANEJO PERSONAL, ASERTIVIDA, BAJO PRESIÓN"
SENA,,Rhinoceros 3d,"Rhinoceros es una herramienta liviana, versátil y en constante evolución, que nace como una necesidad de los diseñadores industriales para desarrollar todo tipo de productos industriales de manera precisa y eficiente en 2d y 3d. Al igual que en Autocad, en Rhinoceros es posible realizar Dibujo 2D, anotación e ilustración. Es posible, también aplanar superficies 3D para crear patrones 2D y usar sistemas de corte por láser, plasma y chorro de agua. Rhinoceros le aporta al usuario la posibilidad de desarrollar superficies, sólidos y mallas, para construir y modelar los objetos y detalles de manera simple, clara y con una precisión tal, que es compatible con diferentes sistemas CAM, CAE. Rhinoceros se ha convertido en una de las herramientas más estables, más útiles y rentables del mercado para los diseñadores industriales, y en este momento está posicionada como la mejor herramienta de modelado y construcción en 2d del mercado, con módulos de joyería y compatibilidad con varios brazos digitalizadores 3D, escáneres 3D e impresoras 3D.
",40.0,Certificado de aprobación,Fórmate Digital,TI,Industrias creativas y comunicación gráfica,DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS,RHINOCEROS 3D DISEÑO GRÁFICO DISEÑO INDUSTRIAL ARQUITECTURA ARTES GRÁFICAS
SENA,SERVICIO AL CLIENTE,Servicio al cliente,"El programa  brinda respuesta a los requerimientos de las empresas para desarrollar altos procesos de cualificación en sus colaboradores.
Partiendo de la premisa organizacional que indica que los clientes son la razón de ser de cualquier empresa, en un entorno globalizado donde las comunicaciones son cada vez más ágiles, el consumidor es el que decide cuándo, dónde y por cuánto tiempo comprar, es importante para los empresarios contar con talento humano capaz de fidelizar y retener clientes que contribuyan con la sostenibilidad económica de sus unidades productivas,  debe ser un asunto de importancia para cualquier organización, de igual manera analizar el servicio al cliente de una compañía, permite validar si las características y funciones del producto o servicio logran satisfacer las necesidades de los usuarios. Conforme con esto, se debe generar estrategias para que las empresas presten un excelente servicio al cliente, pues es el pilar y la base fundamental para conquistar al cliente",48.0,Certificado de aprobación,Fórmate,Otros,"BPOs, Salud, Servicios financieros, Turismo, hoteles y gastronomía","SERVICIO AL CLIENTE, VENTAS, NEGOCIOS","SERVICIO AL CLIENTE SERVICIO AL CLIENTE, VENTAS, NEGOCIOS"
SENA,,Servicio y atención al usuario en transporte individual,"Teniendo en cuenta que la atención al usuario debe estar enmarcada dentro del respeto, la practica permanente de los valores y la seguridad. Es necesaria la capacitación permanente del operario del transporte individual en servicio y atención al cliente. Las empresas con lo anterior logran mayores índices de productividad, competitividad y eficacia.
El programa responde a las necesidades del sector transporte en la cualificación de los conductores y así minimizar el índice de quejas y conflictos con la prestación del servicio, logrando prestar servicios óptimos y oportunos.
Actuando de manera comprometida, responsable autónoma prestando un buen servicio a la sociedad.
",30.0,Certificado de aprobación,Fórmate,Otros,Logística y Transporte,"SERVICIO AL CLIENTE, VENTAS, NEGOCIOS","SERVICIO ATENCIÓN AL USUARIO TRANSPORTE INDIVIDUAL SERVICIO AL CLIENTE, VENTAS, NEGOCIOS"
